,company,code
496,대농,001110
497,대성자원,004260
498,대우전자,007410
499,대우중공업,000200
500,대일화학공업,003110
501,대한모방,001350
502,대한알루미늄공업,009050
503,대호,001980
504,동국중기공업,028410
505,동북아21호선박투자,088010
506,동아금고,030710
507,동양현대종금,008980
508,동양화학공업,002740
509,동원증권,005890
510,럭키소재,034370
511,롯데미도파,004010
512,문화방송,028860
513,박현주2성장,037480
514,범양식품,008750
515,범화건설,029080
516,부국제강,029170
517,삼보컴퓨터,014900
518,삼삼종금,016500
519,삼성물산,000830
520,삼신,011540
521,삼양엔텍,008720
522,새서울상사,028350
523,새한상사,028990
524,서광,003260
525,서진식품,028550
526,성지건설,005980
527,승리기계제작소,028540
528,신한은행(조흥),015580
529,아시아퍼시픽13호,083600
530,아시아퍼시픽14호,083610
531,에스와이,004530
532,에프지엔개발리츠,119250
533,영원통신,028520
534,우리금융지주,053000
535,인천중공업,028770
536,일신,031060
537,제일저축은행,024100
538,중국고섬,950070
539,진성레미컨,002910
540,진영산업,004330
541,청화상공,016490
542,카스코,005330
543,케이엠에이치,009690
544,코리아03호,090990
545,코크렙II,070540
546,코크렙제3호CR리츠,073530
547,태화쇼핑,015880
548,태흥피혁,016680
549,티이씨코,008900
550,풍진,028640
551,플래티넘3호,035040
552,플래티넘타겟,035050
553,하나니켈2호,099350
554,하나은행,002860
555,하이골드8호,159650
556,한국제지,002300
557,한일방직,004210
558,한일양행의약품,004350
559,한주통산,000450
560,한진건설,005660
561,한화폴리드리머,003500
562,허메스홀딩스,012400
563,현대경매부동산일호,083160
564,현대리바트,012830
565,현대페인트,011720
566,호승,017070
567,CJ프론티어,039720
568,CT&T,050470
569,IDH,026230
570,JH코오스,065310
571,JS,037110
572,SIMPAC Metal,090730
573,SK3호스팩,232330
574,광일,023920
575,나노하이텍,071360
576,나리지*온,036850
577,넥서스투자,019430
578,다다,023140
579,다임채권형일,044750
580,대동금고,007090
581,대백저축은행,026970
582,대신석유,007930
583,대아건설,000380
584,대양글로벌,040180
585,대흥멀티통신,037250
586,동방라이텍,025690
587,동방전자,004480
588,동양기공,018720
589,동양매직,023020
590,두림티앤씨,033330
591,리젠트성장1,036970
592,마이다스자산배분형일,035880
593,마이다스테3,040520
594,마이다스하전,039920
595,모보,051810
596,미래아이티1,039220
597,미래에셋드림이호펀드,034960
598,미래에셋프리미어혼합,063680
599,미래하이3,040270
600,보성인터,033300
601,비락,003700
602,산양전기,079870
603,삼덕제지,000550
604,삼목강업,158380
605,삼성다이나믹증권투자,034260
606,삼협개발,008010
607,삼호건설,004520
608,선우중공업,068770
609,선팩테크,054010
610,소프트윈,049790
611,시큐어소프트,037060
612,신민저축은행,031920
613,신원금속,026900
614,신한캐피탈,023780
615,쌍용건설,012650
616,쎄라텍,041550
617,씨그널엔터테인먼트그룹,099830
618,씨엔씨엔터,038420
619,아이스테이션,056010
620,아큐텍,013780
621,액티투오,047710
622,야호,059720
623,에이스일렉,038690
624,엔터미디어,068420
625,엠씨티티코어,052210
626,오브제,058680
627,오상헬스케어,036220
628,유니텍전자,039040
629,유리배분일,037530
630,유리크레디트회사채혼,051990
631,유진스팩3호,221200
632,으뜸저축은행,032150
633,이베스트스팩3호,225440
634,인베스티움사파이어전,034330
635,인터파크,108790
636,자유투어,046840
637,잘만테크,090120
638,제이테크놀로지,035480
639,제일곡산,011890
640,지디,155960
641,청람디지탈,035270
642,카라반케이디이,032570
643,케이비제8호스팩,222390
644,케이에스알,066340
645,케이엔티,036590
646,케이티씨텔레콤,055810
647,코썬바이오,204990
648,큐리어스,045050
649,택산아이엔씨,036900
650,티이씨,067950
651,평안물산,037240
652,포휴먼,049690
653,피죤,002750
654,피코소프트,039580
655,하나머스트3호스팩,208870
656,한국코인,007560
657,한마음저축은행,025450
658,한빛네트,036720
659,한빛전자통신,044570
660,한영전자,008860
661,한일,022610
662,한화SV스팩1호,124050
663,한화에이스스팩3호,264290
664,해원에스티,058480
665,현주컴퓨터,038960
666,금오하이텍,165270
667,비지스틸,179440
668,스페이스솔루션,245030
669,에스와이제이,251540
670,엔케이맥스,262760
671,피엠디아카데미,144740
672,CJ CGV,079160
673,HDC현대EP,089470
674,JW홀딩스,096760
675,KB금융,105560
676,SG충방,001380
677,금강공업,014280
678,금호산업,002990
679,금호전기,001210
680,기업은행,024110
681,남선알미늄,008350
682,남성,004270
683,넷마블,251270
684,대구백화점,006370
685,대우건설,047040
686,대원제약,003220
687,대한방직,001070
688,대한제당,001790
689,대한해운,005880
690,덕양산업,024900
691,동원금속,018500
692,두산인프라코어,042670
693,디씨엠,024090
694,디티알오토모티브,007340
695,롯데손해보험,000400
696,롯데칠성음료,005300
697,롯데하이마트,071840
698,미래에셋생명,085620
699,미원홀딩스,107590
700,백산,035150
701,보락,002760
702,사조대림,003960
703,사조동아원,008040
704,서원,021050
705,세방,004360
706,세아홀딩스,058650
707,세이브존I&C,067830
708,신송홀딩스,006880
709,신일전자,002700
710,써니전자,004770
711,아이마켓코리아,122900
712,아이에이치큐,003560
713,에이블씨엔씨,078520
714,엔씨소프트,036570
